id,slug,view_order,question,answer,special,old_path,faq_type
1,how_far_along_am_i,1,I think I am pregnant. How far along am I?,"<p>We date pregnancies from the first day of the previous menstrual cycle. Actual conception usually occurs around two weeks after that day. Sometimes, it is difficult to remember the last menstrual period, or the last period may have been atypical which calls into question the true gestational age. We do ultrasounds to confirm dates whenever there is any question.</p>","<h3>Estimate* Your Due Date</h3>
<p>Select the date of your last menstrual period:</p>
<div class=""inputContainer"">
   <i class=""far fa-calendar icon""></i>
   <input id=""datepicker"" class=""input-field"" type=""text"">
</div>
<p>Your approximate due date is:<p>
<h2 id=""duedate"">MM/DD/YYYY</h2>
<p><small>* Your due date is calculated by determining the first day of your last menstrual period. Substract 3 months from that date. Then add 7 days plus 1 year.</small></p>
<script defer>
function cal_gen_date2 (dt_datetime) {
	return (
		(dt_datetime.getMonth() < 9 ? '0' : '') + (dt_datetime.getMonth() + 1) + ""/""
		+ (dt_datetime.getDate() < 10 ? '0' : '') + dt_datetime.getDate() + ""/""
		+ dt_datetime.getFullYear()
	);
}
  $( function() {
    $( ""#datepicker"" ).datepicker({ 
        minDate: ""-10M"" , 
        maxDate: ""+0D"",
        dateFormat: ""D M dd yy"",
        onSelect: function(){
           var orig_mo = $( ""#datepicker"" ).datepicker(""getDate"")
           orig_mo.setMonth(orig_mo.getMonth() - 3);
           orig_mo.setDate(orig_mo.getDate() + 7);
           orig_mo.setFullYear(orig_mo.getFullYear() + 1);
           $(""#duedate"").html(cal_gen_date2(orig_mo));
        }
     });
  } );
  </script>",ob_q1,1
2,i_am_pregnant_what_should_i_do,2,I just found out I am pregnant. What should I do?,"<p>First of all, congratulations! We are excited for this miraculous event and look forward to sharing this exciting time with you. You need to call for a new OB appointment. We recommend the first OB appointment occurs within the first 12 weeks of pregnancy. Of course, we recommend you discontinue smoking and drinking any type of alcohol. You should take a prenatal vitamin with adequate folic acid. Most commercial prenatal vitamins contain a full milligram. This folic acid is most important in the first month of pregnancy.</p>
<p>The first OB appointment will be the most involved. During this visit, a complete history and physical exam will be done. A pap smear will be done if you are not current. Appropriate blood tests will be done, and you will be oriented to the office if you are unfamiliar with our facility and staff.</p>",,ob_q2,1
3,expect_from_office_visit_during_pregnancy,3,What should I expect from my office visits during my pregnancy?,"<p>The first visit is the most involved because of the time spent gathering your complete history, conducting the physical exam  and completing the necessary blood work. Subsequent visits will occur monthly until you are 32 weeks; from 32 weeks to 36 weeks, they will occur every 2 weeks. After 36 weeks, your visits will be weekly until delivery. Additional visits during the pregnancy may include: </p>
<ul> 
  <li>12 weeks: first time to hear heartbeat.</li>
  <li>16 weeks: triple screen test containing Maternal serum Alpha Fetoprotein (MS-AFP), Estriol, HCG. <a href=""/faqs/what_is_the_afp_test"">More on AFP</a>. </li> 
  <li>18-20 weeks: ultrasound. </li> 
  <li>24-28 weeks: glucose test, and Rhogam given to RH- patients. </li> 
  <li>36 weeks: screening for GBS (Group B streptococcus). </li> 
</ul>",,ob_q3,1
4,what_is_the_afp_test,4,"What is the AFP test, and should I get it done?","<p>The AFP test or Maternal Serum Alpha Fetoprotein test is a blood test of  three determinants. It also contains estriol and human chorionic gonadotropin. The purpose of this test is to determine the risk of the current pregnancy being affected by certain chromosomal problems such as Down's syndrome or variants of spina bifida. Most of the counseling regarding this test is focused on Down's syndrome because it is the most common of the few problems detectable with this test. </p>
  <p>Down's syndrome is a condition known to most people. It represents a group of problems which occur when there is an extra 21st chromosome. Down's syndrome patients have characteristic body changes such as short stature and mongoloid features. All are affected by variable levels of mental retardation. The risk of having a baby with Down's syndrome increases with maternal age. The risk at age 20 is 1/1,667; age 25 is 1/1,250; age 30 is 1/952; age 35 is 1/385; age 40 is 1/106 and age 45 is 1/30. </p>
  <p>The AFP, or triple screen test, is a screening test and is not diagnostic. It will not tell you if your baby has Down's syndrome or any other problem. The test will indicate whether you should be offered further testing. The formula used to derive the risk approximates the risk of a 35-year old. Thus, a 35 year old patient is screen positive  by virtue of age alone and will be offered further testing. Patients considered  high risk because of age or a positive triple screen test, will be offered  counseling with a perinatologist, ultrasound, and amniocentesis. Amniocentesis is the gold standard for diagnosis.<br>
      <br>
    The AFP or triple screen test is optional. If you do not desire any further prenatal diagnostic information, don't get the test. If you want all the prenatal diagnostic information you can get so that you may prepare yourself for a potential special needs child or would consider termination, then get the test.</p>",,ob_q4,1
29,pill_that_lets_you_have_only_four_cycles_per_year,5,I've heard about taking a pill that lets you have only four cycles per year. Is that safe?,"<p>Yes, it is quite safe. Doctors have been prescribing the pill in this fashion for many years. Just recently, Barr pharmaceuticals packaged a pill called Seasonale to take advantage of this. This formulation uses the same drugs and doses we have been prescribing for decades. The same effect may be achieved with any combined contraceptive ring, patch or pill by taking the 21 hormonally active pills or 3 patches and then skipping the 7 placebo pills at the end of the pack and initiating the next pack. The packaging of the pill to provide a monthly cycle was done because marketing experts thought women would feel safer with a familiar pattern to their bleeding. There is no health benefit to this monthly withdrawal bleeding, and for some there may be significant health benefits to the extended dosing regimen. The physician may consider any patient who has symptomatic menstrual cycles a good candidate. Patients with heavy bleeding, cramping and pain should consider this after other causes have been ruled out. Patients with endometriosis, PMS, menstrual migraines and epilepsy should consider this. Ultimately, this represents another opportunity for the modern woman to stay in control. There are some side effects to adopting this regimen. The most significant side effect is breakthrough bleeding. This is also the most frequent reason given for discontinuing. With the extended regimen, greater than 25 percent will have unscheduled bleeding in the first 3-month cycle. By year's end, 80 percent have excellent cycle control, and that number continues to rise with use.</p>",,gyn_q5,1
5,positive_afp_triple_screen,5,I have a positive AFP or triple screen test for Down's Syndrome. What does that mean?,"<p>This means that the blood test has determined that your pregnancy has the same risk or higher as that of a 35-year old of being affected by Down's Syndrome.  It is not diagnostic.  This test is a screening test and is intended to delineate which patients should be offered further testing. </p>
<p>The most common reason for a positive result is the dates of the pregnancy are inaccurate.  In this case, ultrasound-directed correction of the dates will typically yield a correct negative result.  In the case where the dates are correct, you will be offered counseling and an explanation of the result with a perinatologist.  You will be offered a level two ultrasound looking for features seen in Down's syndrome.  These are by no means diagnostic.  Amniocentesis is the gold standard for diagnosis.  This involves placing a needle into the uterus under ultrasound guidance and withdrawing amniotic fluid which can then be tested.</p>",,ob_q5,1
6,group_b_streptococcus_what_does_this_mean,6,I have been told I carry Group B streptococcus (GBS). What does that mean?,"<p>It is now standard obstetric practice to screen all pregnant patients at or around 36 weeks gestation for GBS. GBS is bacteria carried in the bowel of 10-30 percent of all women.  It is not pathologic to the carrier although it can be harmful to a baby.  GBS can cause a sepsis syndrome that can be life-threatening to a newborn. Thus, all carriers are treated with IV antibiotic while in labor.  There is no use in treating at any other time.  Of note, neonates affected by GBS sepsis are infrequent; therefore, if no test results are available, it is acceptable to treat patients based on risk factors. These risk factors include: preterm, prolonged rupture of membranes, maternal fever, history of previous GBS affected baby and GBS UTI during pregnancy.</p>",,ob_q6,1
7,labor_and_delivery_process,7,I need to go to labor and delivery. What is the process?,"<div class=""alert alert-warning"" role=""alert"">
For emergent problems (anything for which you cannot wait such as bleeding or decreased fetal movement), <strong>forgo admitting and go straight to labor and delivery on the third floor.</strong>
</div>
<p>If you need to go to labor and delivery for labor or any other pregnancy related problem (after 20 weeks) follow these guidelines.</p>
<p>Liberty Hospital: From 11 p.m. to 6 a.m., first report to the emergency room. From 6 a.m. to 11 p.m., report directly to labor and delivery on the third floor of the Medical Plaza East Building.</p>",,ob_q7,1
8,pregnant_and_bleeding,8,What if I am pregnant and have bleeding?,"<div class=""alert alert-warning"" role=""alert"">
For any profuse vaginal bleeding, medical attention should be sought immediately.
</div>
<p><strong>In the first trimester (before 12 weeks):</strong> This is very common. It occurs in more than 30 percent of pregnancies. Our greatest concern is that this would be a sign of a tubal pregnancy which can be a medical emergency. Fortunately, tubal pregnancies are uncommon (less than 2 percent). </p>
<p>The next and more common concern is: does this mean the pregnancy is not viable? Is it the sign of an impending miscarriage? Around 50 percent of the time, this is the case. Nonviable pregnancies may be diagnosed via ultrasound. If the pregnancy is too early for ultrasound, serial blood determinations of the HCG level may be done over several days. During office hours, we  typically perform an exam and ultrasound and obtain blood samples. </p>
<p>If  bleeding occurs after hours and you are concerned about the volume bleeding or the possibility of tubal pregnancy, we will direct you to the emergency room. If bleeding volume is light, the patient is encouraged to follow-up during office hours where an evaluation can be done. It is important to note that in the case where bleeding is seen, there is no intervention that can change a nonviable pregnancy to a viable one.</p>
  <p><strong>Bleeding in the second and third trimester (after 12 weeks): </strong>A small amount of bleeding and spotting is normally seen at term after cervical exams and as the cervix thins. Commonly, it represents trauma or irritation of the vascular cervix especially if it occurs after intercourse. However, bleeding can be a sign of preterm labor especially if accompanied by regular uterine contractions or menstrual-type cramping. </p>
<p>Bleeding can also be the sign of placenta previa. This means the placenta is blocking the cervix. This is evaluated and ruled-out during the ultrasound around 20 weeks. </p>
<p> Lastly, bleeding could represent abruption of the placenta. This means the placenta separates from the wall of the uterus. This occurs most commonly in women with high blood pressure. It can also be the result of trauma to the abdomen.</p>",,ob_q8,1
9,having_a_miscarriage_what_should_i_expect,9,I am having a miscarriage. What are my options? What should I expect?,"<p>If you have been diagnosed with a nonviable pregnancy or impending miscarriage in the first trimester (less than 12 weeks), you have our heartfelt condolecences.  This is never an easy thing to get through, and we know that substantial mourning is normal.  If diagnosed, you will be given the option of passing the pregnancy naturally or undergoing a procedure called a suction dilation and curettage.  If you opt to pass the pregnancy naturally, this can take a variable amount of time, even weeks.  If bleeding and cramping has already started, then the end is likely in sight. You will experience a crescendo of cramping and bleeding followed by the passage of tissue and cessation of cramping and a significant decrease in the bleeding.  This can be an unnerving process and many patients end up in the emergency room.  The cramping is synonymous with labor pains.  The cramps open the cervix so the pregnancy can be passed.  Occasionally, only part of the pregnancy will be passed and the bleeding and cramping will continue.  In these cases, a dilation and curettage will need to be done. </p>
<p>Dilation and curettage is a safe procedure, although no procedure is completely free of potential complication.  Of course, medical attention should always be sought for profound bleeding and pain.  Also, expectant management (passing tissue naturally) should not occur when a tubal pregnancy (no pregnancy seen in the uterus on ultrasound) is considered a possibility.</p>",,ob_q9,1
