id,name,members
22,"Kansas City University College of Osteopathic Medicine – Kansas City, MO",9
21,"University of Nebraska Medical Center – Omaha, NE",9
20,"Florida Southern College – Lakeland, FL",9
19,University of Kansas,7
18,"University of Missouri School of Medicine – Columbia, MO","1,2"
17,University of Texas,8
16,Wichita State University,8
15,University of Missouri – Kansas City,"6,7"
14,"William Jewell College – Liberty, MO",6
13,"Rush University Medical Center – Chicago, IL",5
12,"University of Kansas Medical Center – Kansas City, KS",5
11,"University of Missouri – Rolla, MO",5
10,"Truman Medical Center, St. Luke's Hospital",3
9,"University of Nevada School of Medicine – Reno, NV",3
8,"Oral Roberts University – Tulsa, OK",3
7,"University of Arkansas for Medical Sciences – Little Rock, AK",2
6,Westminster College,2
5,"Creighton University School of Medicine – Omaha, NE","4,4"
4,"Saint Louis University – St. Louis, MO",4
3,University of Missouri Medical Center,"1,1"
2,"University of Missouri – Columbia, MO",
1,"Culver-Stockton College – Canton, MO",1
